cbg_id,cbg_geocode
1,240276069061
2,240276023022
3,240276069013
4,240276040024
5,240276055031
6,240276023032
7,240276056021
8,240276066071
9,240276011032
10,240276067041
11,240276056014
12,240276022023
13,240276066012
14,240276055041
15,240276021001
16,240276066032
17,240276023043
18,240276023021
19,240276068031
20,240276069043
21,240276012014
22,240276022021
23,240276022011
24,240276040023
25,240276054012
26,240276069072
27,240276012013
28,240276051041
29,240276069052
30,240276012041
31,240276012011
32,240276012032
33,240276011033
34,240276012031
35,240276011051
36,240276011053
37,240276011043
38,240276069053
39,240276055033
40,240276011042
41,240276067071
42,240276068032
43,240276028001
44,240276028002
45,240276021002
46,240276023051
47,240276029002
48,240276067012
49,240276069012
50,240276011081
51,240276056024
52,240276021003
53,240276067043
54,240276030041
55,240276067062
56,240276067051
57,240276068033
58,240276056022
59,240276030042
60,240276026003
61,240276068051
62,240276051023
63,240276040011
64,240276055052
65,240276030043
66,240276054013
67,240276021005
68,240276029001
69,240276066035
70,240276068062
71,240276021004
72,240276066011
73,240276066034
74,240276069042
75,240276069041
76,240276066041
77,240276051022
78,240276051032
79,240276067061
80,240276056023
81,240276055051
82,240276023052
83,240276023041
84,240276054022
85,240276011082
86,240276054024
87,240276056012
88,240276054021
89,240276022022
90,240276026001
91,240276051031
92,240276068041
93,240276012012
94,240276051024
95,240276023061
96,240276066033
97,240276051021
98,240276066042
99,240276055021
100,240276066031
101,240276069014
102,240276023033
103,240276055032
104,240276030031
105,240276054014
106,240276030011
107,240276056013
108,240276040022
109,240276056011
110,240276066062
111,240276069073
112,240276021006
113,240276023031
114,240276028003
115,240276068061
116,240276068063
117,240276066072
118,240276069011
119,240276066061
120,240276011052
121,240276027001
122,240276023023
123,240276068053
124,240276011071
125,240276040012
126,240276011072
127,240276011041
128,240276067011
129,240276068052
130,240276012042
131,240276030032
132,240276023062
133,240276068042
134,240276022012
135,240276067042
136,240276055022
137,240276054023
138,240276051042
139,240276027002
140,240276054011
141,240276012015
142,240276069062
143,240276067063
144,240276069051
145,240276030013
146,240276055023
147,240276026002
148,240276023042
149,240276067072
150,240276030012
151,240276040013
152,240276040021
153,240276011031
154,240276069071
