,p1,p2,beta
0,1159,141,1
1,2946,866,1
2,4381,93,1
3,5212,2666,1
4,5241,3985,1
5,5656,93,1
6,5656,4381,1
7,6721,1478,1
8,8372,210,1
9,8422,8372,1
10,9793,461,1
11,10257,5381,1
12,11187,6818,1
13,11314,9377,1
14,11472,3396,1
15,11472,5381,1
16,12772,4557,1
17,12905,9037,1
18,12932,141,1
19,12932,1159,1
20,13067,5940,1
21,13103,11314,1
22,14441,5758,1
23,14632,570,1
24,14632,2480,1
25,15184,12753,1
26,15960,4557,1
27,16090,14871,1
28,16101,3985,1
29,16101,5241,1
30,16397,8422,1
31,16518,4381,1
32,16518,5656,1
33,17326,16288,1
34,17368,3310,1
35,17745,5381,1
36,17745,10257,1
37,18322,210,1
38,18322,16397,1
39,18946,18515,1
40,19221,9601,1
41,19598,866,1
42,19598,2946,1
43,19828,16090,1
44,20429,2946,1
45,20507,141,1
46,20507,1159,1
47,20507,12932,1
48,21784,1396,1
49,21802,2964,1
50,21855,6940,1
51,22105,17244,1
52,22556,8700,1
53,22556,9601,1
54,22556,21190,1
55,22910,4048,1
56,23046,3310,1
57,23046,17368,1
58,23533,3633,1
59,23698,14496,1
60,24105,9377,1
61,24169,7565,1
62,24169,23900,1
63,24389,10777,1
64,24421,23063,1
65,24854,10696,1
66,24854,14632,1
67,24881,968,1
68,24881,17632,1
69,24893,3449,1
70,24934,5940,1
71,24943,10777,1
72,24943,24389,1
73,25147,3196,1
74,25147,21784,1
75,25474,12796,1
76,25822,2480,1
77,25824,2964,1
78,26262,22556,1
79,26358,12932,1
80,26966,14859,1
81,27004,968,1
82,27004,3388,1
83,27592,1728,1
84,27592,3781,1
85,27711,19828,1
86,27743,24131,1
87,27855,9037,1
88,27855,12905,1
89,27928,4595,1
90,27928,24761,1
91,28252,3203,1
92,28252,3449,1
93,28252,5950,1
94,28252,24893,1
95,28252,27004,1
96,28404,8700,1
97,28614,22566,1
98,28620,3203,1
99,28620,8643,1
100,28620,17039,1
101,28732,6142,1
102,28809,24161,1
103,29247,1728,1
104,29247,27592,1
105,29362,17258,1
106,29406,11525,1
107,29406,16101,1
108,29415,7940,1
109,30084,62,1
110,30084,26507,1
111,30547,12905,1
112,30582,12114,1
113,30582,12772,1
114,30582,14632,1
115,30582,24761,1
116,30667,3985,1
117,30667,16101,1
118,30870,2964,1
119,30870,25824,1
120,30966,1010,1
121,31081,93,1
122,31081,4381,1
123,31317,22727,1
124,31453,6818,1
125,31453,11187,1
126,31453,15960,1
127,31453,23949,1
128,31508,11925,1
129,31533,2666,1
130,31533,23063,1
131,31673,9793,1
132,31895,968,1
133,32092,21153,1
134,32343,11187,1
135,32343,12796,1
136,32588,20507,1
137,32606,22556,1
138,32930,3388,1
139,33156,27638,1
140,33156,31941,1
141,33471,1478,1
142,33701,25916,1
143,33771,18946,1
144,33821,25916,1
145,34485,3310,1
146,35450,8730,1
147,35450,22390,1
148,35656,30131,1
149,35656,34434,1
150,35786,16130,1
151,35786,21673,1
152,35793,21190,1
153,35825,6721,1
154,35825,16127,1
155,35825,33471,1
156,35952,12114,1
157,36057,3396,1
158,36057,16101,1
159,36057,18678,1
160,36441,93,1
161,36441,5656,1
162,36441,16518,1
163,36623,17244,1
164,36623,22105,1
165,36737,31219,1
166,36737,35471,1
167,37339,703,1
168,37430,3633,1
169,37430,23533,1
170,37611,11525,1
171,37808,13385,1
172,37808,15683,1
173,37808,16101,1
174,38037,25822,1
175,38037,35952,1
176,38217,93,1
177,38217,4381,1
178,38217,31081,1
179,38534,968,1
180,38534,3203,1
181,38534,6940,1
182,38628,24389,1
183,38687,12114,1
184,38687,14496,1
185,38687,27928,1
186,38687,32092,1
187,38828,29351,1
188,39188,2096,1
189,39188,2423,1
190,39193,24854,1
191,39429,2096,1
192,39508,4999,1
193,39508,15184,1
194,39508,26714,1
195,39574,34564,1
196,39875,20530,1
197,40491,31951,1
198,40560,23163,1
199,40638,21673,1
200,40638,35786,1
201,40856,28404,1
202,41013,11925,1
203,41013,31508,1
204,41756,22729,1
205,41974,11472,1
206,41974,17745,1
207,41974,34485,1
208,42004,7940,1
209,42004,27711,1
210,42466,29415,1
211,42466,29586,1
212,42549,24512,1
213,42608,17162,1
214,42755,5950,1
215,42755,24893,1
216,42807,14871,1
217,42807,16090,1
218,42839,27855,1
219,42839,28122,1
220,43021,10756,1
221,43465,3781,1
222,43465,16090,1
223,43465,16288,1
224,43465,17326,1
225,43709,25916,1
226,43831,2964,1
227,43831,5241,1
228,43831,13385,1
229,43831,16101,1
230,43854,2666,1
231,43854,5940,1
232,44243,9601,1
233,44267,1396,1
234,44267,3196,1
235,44267,25147,1
236,44304,21153,1
237,44304,32092,1
238,44304,32343,1
239,44615,9377,1
240,44615,16090,1
241,44723,21532,1
242,45329,28847,1
243,45329,38628,1
244,45467,23046,1
245,45467,34485,1
246,45467,41974,1
247,45709,141,1
248,45709,1159,1
249,45709,20507,1
250,45848,40615,1
251,45957,29351,1
252,45957,38828,1
253,46084,21190,1
254,46181,24761,1
255,46181,33471,1
256,46181,41929,1
257,46202,6940,1
258,46269,8643,1
259,46269,17039,1
260,46269,28620,1
261,46420,30131,1
262,46420,35656,1
263,46778,23248,1
264,47023,22566,1
265,47098,26714,1
266,47098,44301,1
267,47114,24389,1
268,47260,31949,1
269,47489,36737,1
270,47567,14014,1
271,47803,14859,1
272,47803,20495,1
273,47803,39739,1
274,47866,28614,1
275,47912,4337,1
276,47912,30084,1
277,48009,9172,1
278,48015,16130,1
279,48015,35786,1
280,48015,40638,1
281,48593,7565,1
282,48593,43854,1
283,48947,7940,1
284,48982,3987,1
285,48982,13103,1
286,48982,32930,1
287,49062,17266,1
288,49062,36844,1
289,49062,41756,1
290,49120,24854,1
291,49161,3633,1
292,49161,22910,1
293,49176,32606,1
294,49176,38037,1
295,49309,5940,1
296,49309,24934,1
297,49309,42004,1
298,49396,26262,1
299,49800,23898,1
300,49800,34564,1
301,50159,22854,1
302,50159,42123,1
303,50201,9037,1
304,50201,30966,1
305,50436,2515,1
306,50436,17368,1
307,50436,37073,1
308,50451,20530,1
309,50903,8473,1
310,51140,9377,1
311,51140,44723,1
312,51833,16397,1
313,51967,1728,1
314,51967,18554,1
315,51967,22390,1
316,52262,20429,1
317,52297,35427,1
318,52297,35542,1
319,52520,30547,1
320,52563,20429,1
321,52563,23063,1
322,52563,52262,1
323,52825,25824,1
324,53174,25916,1
325,53174,33701,1
326,53297,21855,1
327,53297,50159,1
328,53372,10696,1
329,53372,25822,1
330,53379,2666,1
331,53412,1728,1
332,53412,29247,1
333,53908,1060,1
334,53941,20530,1
335,53941,50451,1
336,53941,52563,1
337,54400,3985,1
338,54400,35542,1
339,54400,52297,1
340,54436,13860,1
341,54436,49309,1
342,54907,38828,1
343,55125,4337,1
344,55125,47912,1
345,55163,3781,1
346,55163,21855,1
347,55699,39193,1
